strategy_name,player_initial_score,dealer_upcard_value,player_final_score,player_bust,player_blackjack,result
Basic,15,8,22,True,False,loss
Basic,9,2,19,False,False,win
Basic,12,6,17,False,False,win
Basic,19,4,19,False,False,loss
Basic,14,10,22,True,False,loss
Basic,19,10,19,False,False,loss
Basic,20,3,20,False,False,win
Basic,14,11,17,False,False,loss
Basic,19,7,19,False,False,win
Basic,21,11,21,False,True,win
Basic,17,10,17,False,False,loss
Basic,12,10,22,True,False,loss
Basic,20,10,20,False,False,win
Basic,5,5,17,False,False,win
Basic,19,10,19,False,False,loss
Basic,13,7,21,False,False,win
Basic,13,10,23,True,False,loss
Basic,12,7,22,True,False,loss
Basic,11,5,19,False,False,win
Basic,15,7,25,True,False,loss
Basic,17,9,17,False,False,draw
Basic,13,10,23,True,False,loss
Basic,11,5,21,False,False,win
Basic,7,10,21,False,False,win
Basic,9,4,22,True,False,loss
Basic,12,10,20,False,False,win
Basic,19,6,19,False,False,loss
Basic,14,7,25,True,False,loss
Basic,18,2,18,False,False,win
Basic,20,7,20,False,False,win
Basic,20,6,20,False,False,win
Basic,19,3,19,False,False,draw
Basic,21,7,21,False,True,win
Basic,18,11,18,False,False,loss
Basic,9,11,17,False,False,loss
Basic,16,6,21,False,False,win
Basic,17,9,17,False,False,loss
Basic,21,4,21,False,True,win
Basic,13,5,19,False,False,loss
Basic,19,6,19,False,False,loss
Basic,17,11,17,False,False,draw
Basic,12,2,20,False,False,win
Basic,11,3,25,True,False,loss
Basic,20,8,20,False,False,draw
Basic,15,10,25,True,False,loss
Basic,12,10,21,False,False,win
Basic,11,2,25,True,False,loss
Basic,16,10,23,True,False,loss
Basic,12,10,12,False,False,loss
Basic,9,7,19,False,False,win
Basic,14,7,19,False,False,win
Basic,14,10,19,False,False,win
Basic,11,9,20,False,False,draw
Basic,19,10,19,False,False,draw
Basic,19,5,19,False,False,loss
Basic,17,5,17,False,False,win
Basic,15,10,25,True,False,loss
Basic,14,10,19,False,False,win
Basic,8,10,22,True,False,loss
Basic,7,10,17,False,False,loss
Basic,19,11,19,False,False,loss
Basic,20,10,20,False,False,win
Basic,20,7,20,False,False,win
Basic,7,9,23,True,False,loss
Basic,9,5,19,False,False,win
Basic,21,6,21,False,True,win
Basic,14,10,20,False,False,loss
Basic,18,8,18,False,False,draw
Basic,7,5,25,True,False,loss
Basic,9,7,23,True,False,loss
Basic,18,11,18,False,False,win
Basic,20,10,20,False,False,loss
Basic,16,8,23,True,False,loss
Basic,10,4,25,True,False,loss
Basic,17,3,17,False,False,loss
Basic,15,10,24,True,False,loss
Basic,13,10,23,True,False,loss
Basic,20,5,20,False,False,win
Basic,20,7,20,False,False,win
Basic,21,8,21,False,True,win
Basic,20,10,20,False,False,win
Basic,16,10,18,False,False,loss
Basic,20,10,20,False,False,draw
Basic,21,5,21,False,True,win
Basic,21,5,21,False,True,win
Basic,12,11,22,True,False,loss
Basic,16,7,25,True,False,loss
Basic,11,10,24,True,False,loss
Basic,13,6,22,True,False,loss
Basic,21,2,21,False,True,win
Basic,15,3,25,True,False,loss
Basic,18,11,18,False,False,loss
Basic,19,10,19,False,False,draw
Basic,8,6,18,False,False,win
Basic,12,10,22,True,False,loss
Basic,10,7,19,False,False,win
Basic,12,10,20,False,False,win
Basic,7,5,22,True,False,loss
Basic,12,10,22,True,False,loss
Basic,15,10,23,True,False,loss
Basic,13,11,17,False,False,loss
Basic,7,11,20,False,False,win
Basic,17,8,17,False,False,loss
Basic,17,10,17,False,False,win
Basic,16,3,20,False,False,win
Basic,19,4,19,False,False,win
Basic,5,4,21,False,False,win
Basic,11,5,21,False,False,win
Basic,15,2,25,True,False,loss
Basic,19,10,19,False,False,loss
Basic,13,7,17,False,False,draw
Basic,9,10,9,False,False,loss
Basic,13,8,20,False,False,win
Basic,17,10,17,False,False,draw
Basic,16,10,26,True,False,loss
Basic,17,10,17,False,False,draw
Basic,21,6,21,False,True,win
Basic,15,2,20,False,False,loss
Basic,15,10,20,False,False,draw
Basic,8,3,18,False,False,win
Basic,20,10,20,False,False,win
Basic,21,3,21,False,True,win
Basic,13,8,22,True,False,loss
Basic,9,9,17,False,False,draw
Basic,13,10,25,True,False,loss
Basic,18,5,18,False,False,loss
Basic,13,7,23,True,False,loss
Basic,20,10,20,False,False,win
Basic,20,5,20,False,False,win
Basic,15,3,17,False,False,win
Basic,7,3,24,True,False,loss
Basic,16,10,23,True,False,loss
Basic,14,4,24,True,False,loss
Basic,20,3,20,False,False,win
Basic,18,10,18,False,False,loss
Basic,16,10,18,False,False,loss
Basic,17,10,17,False,False,loss
Basic,15,6,25,True,False,loss
Basic,15,3,25,True,False,loss
Basic,18,10,18,False,False,loss
Basic,15,6,20,False,False,win
Basic,19,6,19,False,False,win
Basic,19,10,19,False,False,loss
Basic,8,10,18,False,False,draw
Basic,17,10,17,False,False,loss
Basic,17,10,17,False,False,loss
Basic,12,10,21,False,False,win
Basic,13,7,23,True,False,loss
Basic,19,9,19,False,False,win
Basic,18,2,18,False,False,win
Basic,21,4,21,False,True,win
Basic,19,10,19,False,False,draw
Basic,16,10,24,True,False,loss
Basic,19,3,19,False,False,draw
Basic,16,7,19,False,False,draw
Basic,15,10,18,False,False,loss
Basic,15,4,23,True,False,loss
Basic,6,8,17,False,False,loss
Basic,20,11,20,False,False,win
Basic,19,5,19,False,False,win
Basic,17,10,17,False,False,loss
Basic,8,9,19,False,False,draw
Basic,13,10,17,False,False,loss
Basic,12,10,25,True,False,loss
Basic,13,8,19,False,False,win
Basic,15,10,23,True,False,loss
Basic,13,7,17,False,False,draw
Basic,20,5,20,False,False,draw
Basic,16,2,21,False,False,win
Basic,10,6,19,False,False,win
Basic,19,11,19,False,False,win
Basic,17,10,17,False,False,loss
Basic,21,10,21,False,True,win
Basic,19,11,19,False,False,loss
Basic,19,10,19,False,False,loss
Basic,15,6,18,False,False,win
Basic,9,4,19,False,False,win
Basic,15,2,25,True,False,loss
Basic,14,9,20,False,False,win
Basic,20,10,20,False,False,draw
Basic,11,11,21,False,False,win
Basic,17,7,17,False,False,loss
Basic,15,11,23,True,False,loss
Basic,11,11,19,False,False,win
Basic,18,7,18,False,False,win
Basic,13,7,23,True,False,loss
Basic,21,4,21,False,True,win
Basic,15,10,24,True,False,loss
Basic,14,10,18,False,False,loss
Basic,18,11,18,False,False,loss
Basic,19,10,19,False,False,win
Basic,12,10,22,True,False,loss
Basic,12,10,25,True,False,loss
Basic,12,10,22,True,False,loss
Basic,15,6,25,True,False,loss
Basic,15,3,17,False,False,loss
Basic,19,7,19,False,False,win
Basic,18,10,18,False,False,loss
Basic,21,2,21,False,True,win
Basic,17,3,17,False,False,win
Basic,18,4,18,False,False,draw
Basic,8,9,26,True,False,loss
Basic,20,8,20,False,False,loss
Basic,10,7,20,False,False,win
Basic,16,4,26,True,False,loss
Basic,20,2,20,False,False,win
Basic,15,11,17,False,False,loss
Basic,21,10,21,False,True,win
Basic,15,10,17,False,False,win
Basic,12,8,21,False,False,win
Basic,20,3,20,False,False,win
Basic,15,9,26,True,False,loss
Basic,16,3,24,True,False,loss
Basic,17,8,17,False,False,loss
Basic,16,3,19,False,False,loss
Basic,12,9,20,False,False,win
Basic,7,6,19,False,False,win
Basic,14,7,24,True,False,loss
Basic,16,8,19,False,False,win
Basic,14,11,20,False,False,draw
Basic,15,10,22,True,False,loss
Basic,16,8,17,False,False,win
Basic,18,9,18,False,False,loss
Basic,18,10,18,False,False,draw
Basic,18,11,18,False,False,loss
Basic,14,9,20,False,False,win
Basic,13,11,13,False,False,loss
Basic,5,6,20,False,False,win
Basic,13,8,23,True,False,loss
Basic,18,2,18,False,False,win
Basic,16,10,22,True,False,loss
Basic,12,10,23,True,False,loss
Basic,13,2,17,False,False,win
Basic,12,9,18,False,False,win
Basic,13,10,19,False,False,win
Basic,19,9,19,False,False,draw
Basic,10,2,20,False,False,win
Basic,13,10,13,False,False,loss
Basic,15,5,25,True,False,loss
Basic,12,8,19,False,False,win
Basic,14,5,20,False,False,win
Basic,10,10,17,False,False,win
Basic,9,10,17,False,False,loss
Basic,13,5,23,True,False,loss
Basic,13,2,18,False,False,win
Basic,12,8,26,True,False,loss
Basic,17,2,17,False,False,loss
Basic,15,11,21,False,False,win
Basic,21,11,21,False,True,win
Basic,21,2,21,False,True,win
Basic,14,10,21,False,False,win
Basic,12,9,22,True,False,loss
Basic,6,5,23,True,False,loss
Basic,12,4,22,True,False,loss
Basic,13,7,23,True,False,loss
Basic,17,10,17,False,False,loss
Basic,16,10,19,False,False,win
Basic,12,5,18,False,False,win
Basic,17,10,17,False,False,win
Basic,14,10,18,False,False,draw
Basic,18,4,18,False,False,win
Basic,20,2,20,False,False,draw
Basic,20,7,20,False,False,win
Basic,20,9,20,False,False,win
Basic,17,4,17,False,False,loss
Basic,13,10,21,False,False,win
Basic,11,10,11,False,False,loss
Basic,18,4,18,False,False,win
Basic,15,4,25,True,False,loss
Basic,13,6,23,True,False,loss
Basic,13,8,18,False,False,win
Basic,11,8,21,False,False,win
Basic,12,10,22,True,False,loss
Basic,8,11,19,False,False,loss
Basic,20,11,20,False,False,loss
Basic,11,10,21,False,False,win
Basic,18,10,18,False,False,loss
Basic,15,10,25,True,False,loss
Basic,11,10,18,False,False,loss
Basic,14,5,24,True,False,loss
Basic,10,4,26,True,False,loss
Basic,16,11,26,True,False,loss
Basic,19,10,19,False,False,win
Basic,14,4,18,False,False,loss
Basic,9,10,18,False,False,win
Basic,16,10,20,False,False,draw
Basic,18,6,18,False,False,win
Basic,13,10,19,False,False,win
Basic,10,2,21,False,False,win
Basic,14,7,22,True,False,loss
Basic,15,11,15,False,False,loss
Basic,15,2,25,True,False,loss
Basic,17,2,17,False,False,win
Basic,14,10,22,True,False,loss
Basic,9,10,20,False,False,win
Basic,15,6,20,False,False,loss
Basic,13,8,17,False,False,loss
Basic,14,7,17,False,False,loss
Basic,6,10,17,False,False,loss
Basic,13,11,23,True,False,loss
Basic,17,8,17,False,False,loss
Basic,12,11,17,False,False,loss
Basic,12,3,22,True,False,loss
Basic,21,6,21,False,True,win
Basic,16,8,26,True,False,loss
Basic,5,10,19,False,False,win
Basic,8,7,19,False,False,win
Basic,20,7,20,False,False,win
Basic,14,9,20,False,False,win
Basic,12,8,19,False,False,loss
Basic,14,5,25,True,False,loss
Basic,12,10,22,True,False,loss
Basic,21,5,21,False,True,win
Basic,21,9,21,False,True,win
Basic,20,6,20,False,False,win
Basic,20,10,20,False,False,loss
Basic,15,10,25,True,False,loss
Basic,16,8,17,False,False,draw
Basic,20,10,20,False,False,draw
Basic,16,10,24,True,False,loss
Basic,21,7,21,False,True,win
Basic,10,4,22,True,False,loss
Basic,13,8,23,True,False,loss
Basic,12,7,25,True,False,loss
Basic,13,9,20,False,False,win
Basic,19,10,19,False,False,win
Basic,12,10,17,False,False,loss
Basic,10,3,20,False,False,win
Basic,8,10,18,False,False,loss
Basic,20,3,20,False,False,win
Basic,17,4,17,False,False,win
Basic,15,3,21,False,False,win
Basic,11,10,19,False,False,draw
Basic,19,9,19,False,False,win
Basic,9,10,17,False,False,loss
Basic,12,3,18,False,False,loss
Basic,14,8,24,True,False,loss
Basic,13,7,18,False,False,win
Basic,12,2,18,False,False,win
Basic,12,2,21,False,False,win
Basic,20,6,20,False,False,win
Basic,13,10,24,True,False,loss
Basic,16,9,22,True,False,loss
Basic,16,6,24,True,False,loss
Basic,14,7,24,True,False,loss
Basic,16,8,26,True,False,loss
Basic,12,10,22,True,False,loss
Basic,9,7,17,False,False,win
Basic,9,3,19,False,False,win
Basic,20,10,20,False,False,win
Basic,15,10,17,False,False,loss
Basic,8,10,26,True,False,loss
Basic,16,7,26,True,False,loss
Basic,18,7,18,False,False,win
Basic,21,10,21,False,True,win
Basic,20,11,20,False,False,win
Basic,16,2,23,True,False,loss
Basic,18,10,18,False,False,loss
Basic,16,6,23,True,False,loss
Basic,19,5,19,False,False,win
Basic,21,10,21,False,True,win
Basic,20,4,20,False,False,loss
Basic,13,2,18,False,False,win
Basic,12,3,21,False,False,win
Basic,14,7,26,True,False,loss
Basic,12,10,24,True,False,loss
Basic,20,5,20,False,False,win
Basic,18,3,18,False,False,win
Basic,13,7,19,False,False,win
Basic,9,11,25,True,False,loss
Basic,18,10,18,False,False,draw
Basic,10,8,20,False,False,win
Basic,14,6,24,True,False,loss
Basic,15,8,25,True,False,loss
Basic,19,6,19,False,False,win
Basic,7,10,21,False,False,win
Basic,14,11,19,False,False,draw
Basic,13,10,23,True,False,loss
Basic,6,2,17,False,False,loss
Basic,11,11,11,False,False,loss
Basic,15,10,15,False,False,loss
Basic,12,7,18,False,False,draw
Basic,7,10,17,False,False,loss
Basic,17,11,17,False,False,win
Basic,10,4,19,False,False,win
Basic,10,5,18,False,False,loss
Basic,16,6,17,False,False,loss
Basic,13,7,17,False,False,draw
Basic,19,5,19,False,False,draw
Basic,20,4,20,False,False,win
Basic,11,10,20,False,False,win
Basic,9,11,9,False,False,loss
Basic,13,7,17,False,False,draw
Basic,17,11,17,False,False,loss
Basic,16,4,19,False,False,win
Basic,8,10,18,False,False,draw
Basic,17,4,17,False,False,win
Basic,12,10,22,True,False,loss
Basic,15,9,19,False,False,win
Basic,13,10,23,True,False,loss
Basic,8,5,17,False,False,draw
Basic,15,10,17,False,False,loss
Basic,20,2,20,False,False,draw
Basic,10,10,24,True,False,loss
Basic,20,10,20,False,False,win
Basic,8,4,18,False,False,win
Basic,16,2,26,True,False,loss
Basic,13,3,23,True,False,loss
Basic,20,9,20,False,False,win
Basic,11,10,21,False,False,win
Basic,14,5,24,True,False,loss
Basic,13,5,23,True,False,loss
Basic,13,10,22,True,False,loss
Basic,20,10,20,False,False,win
Basic,13,8,23,True,False,loss
Basic,18,6,18,False,False,draw
Basic,16,2,22,True,False,loss
Basic,13,7,21,False,False,win
Basic,19,2,19,False,False,loss
Basic,21,10,21,False,True,win
Basic,11,5,26,True,False,loss
Basic,14,2,24,True,False,loss
Basic,14,5,24,True,False,loss
Basic,9,9,18,False,False,win
Basic,17,6,17,False,False,loss
Basic,18,10,18,False,False,win
Basic,20,10,20,False,False,win
Basic,11,9,21,False,False,draw
Basic,19,7,19,False,False,win
Basic,18,5,18,False,False,win
Basic,9,10,24,True,False,loss
Basic,9,7,22,True,False,loss
Basic,18,10,18,False,False,loss
Basic,12,5,23,True,False,loss
Basic,12,6,22,True,False,loss
Basic,13,11,17,False,False,loss
Basic,13,6,23,True,False,loss
Basic,17,8,17,False,False,win
Basic,6,5,26,True,False,loss
Basic,13,10,21,False,False,win
Basic,15,8,21,False,False,win
Basic,19,10,19,False,False,win
Basic,9,10,24,True,False,loss
Basic,18,8,18,False,False,draw
Basic,16,10,19,False,False,win
Basic,12,5,22,True,False,loss
Basic,20,8,20,False,False,win
Basic,13,10,25,True,False,loss
Basic,21,4,21,False,True,win
Basic,18,8,18,False,False,loss
Basic,20,8,20,False,False,win
Basic,20,6,20,False,False,loss
Basic,14,2,24,True,False,loss
Basic,13,3,19,False,False,win
Basic,11,10,22,True,False,loss
Basic,15,10,15,False,False,loss
Basic,17,9,17,False,False,win
Basic,18,2,18,False,False,draw
Basic,13,10,20,False,False,draw
Basic,16,10,24,True,False,loss
Basic,14,2,19,False,False,win
Basic,14,3,24,True,False,loss
Basic,6,10,22,True,False,loss
Basic,13,11,13,False,False,loss
Basic,11,11,20,False,False,win
Basic,18,10,18,False,False,draw
Basic,18,10,18,False,False,loss
Basic,12,10,19,False,False,draw
Basic,17,6,17,False,False,win
Basic,20,10,20,False,False,win
Basic,19,2,19,False,False,loss
Basic,20,9,20,False,False,win
Basic,20,8,20,False,False,win
Basic,13,10,23,True,False,loss
Basic,14,5,21,False,False,win
Basic,12,11,18,False,False,loss
Basic,10,10,20,False,False,win
Basic,13,7,23,True,False,loss
Basic,12,11,12,False,False,loss
Basic,11,5,17,False,False,draw
Basic,16,7,24,True,False,loss
Basic,9,11,17,False,False,draw
Basic,18,11,18,False,False,loss
Basic,20,7,20,False,False,loss
Basic,6,10,17,False,False,win
Basic,11,4,23,True,False,loss
Basic,13,10,21,False,False,draw
Basic,21,2,21,False,True,win
Basic,17,8,17,False,False,loss
Basic,18,2,18,False,False,win
Basic,19,10,19,False,False,draw
Basic,13,10,23,True,False,loss
Basic,15,3,24,True,False,loss
Basic,20,7,20,False,False,win
Basic,6,6,17,False,False,win
Basic,18,3,18,False,False,win
Basic,14,7,22,True,False,loss
Basic,14,10,19,False,False,loss
Basic,20,10,20,False,False,win
Basic,15,9,25,True,False,loss
Basic,16,10,23,True,False,loss
Basic,16,10,18,False,False,loss
Basic,8,10,18,False,False,win
Basic,16,11,25,True,False,loss
Basic,15,4,21,False,False,win
Basic,13,10,23,True,False,loss
Basic,20,6,20,False,False,win
Basic,9,11,19,False,False,loss
Basic,18,5,18,False,False,win
Basic,8,7,18,False,False,win
Basic,19,8,19,False,False,loss
Basic,12,9,17,False,False,draw
Basic,10,8,23,True,False,loss
Basic,20,8,20,False,False,win
Basic,13,3,23,True,False,loss
Basic,14,8,22,True,False,loss
Basic,14,4,19,False,False,win
Basic,12,10,17,False,False,loss
Basic,20,8,20,False,False,win
Basic,15,3,21,False,False,win
Basic,20,11,20,False,False,draw
Basic,14,3,18,False,False,win
Basic,13,10,22,True,False,loss
Basic,17,2,17,False,False,loss
Basic,8,10,22,True,False,loss
Basic,19,10,19,False,False,win
Basic,12,10,22,True,False,loss
Basic,9,11,19,False,False,win
Basic,13,11,13,False,False,loss
Basic,21,8,21,False,True,win
Basic,21,10,21,False,True,win
Basic,14,4,21,False,False,draw
Basic,15,10,25,True,False,loss
Basic,15,5,22,True,False,loss
Basic,19,11,19,False,False,win
Basic,13,11,13,False,False,loss
Basic,4,6,20,False,False,win
Basic,19,11,19,False,False,win
Basic,15,9,21,False,False,win
Basic,18,11,18,False,False,loss
Basic,20,10,20,False,False,win
Basic,16,5,21,False,False,win
Basic,13,8,17,False,False,loss
Basic,15,9,18,False,False,loss
Basic,5,10,25,True,False,loss
Basic,12,10,21,False,False,win
Basic,12,9,22,True,False,loss
Basic,17,10,17,False,False,loss
Basic,13,4,24,True,False,loss
Basic,16,10,18,False,False,loss
Basic,20,10,20,False,False,win
Basic,19,3,19,False,False,draw
Basic,13,5,17,False,False,win
Basic,12,5,20,False,False,win
Basic,6,11,22,True,False,loss
Basic,16,4,20,False,False,win
Basic,17,5,17,False,False,draw
Basic,16,3,24,True,False,loss
Basic,19,10,19,False,False,win
Basic,8,10,18,False,False,loss
Basic,19,5,19,False,False,loss
Basic,12,4,17,False,False,draw
Basic,21,10,21,False,True,win
Basic,8,6,23,True,False,loss
Basic,12,11,20,False,False,win
Basic,14,5,20,False,False,win
Basic,9,11,19,False,False,draw
Basic,18,4,18,False,False,loss
Basic,14,3,24,True,False,loss
Basic,19,7,19,False,False,win
Basic,16,5,17,False,False,loss
Basic,12,10,21,False,False,win
Basic,16,6,17,False,False,loss
Basic,14,7,18,False,False,win
Basic,5,10,25,True,False,loss
Basic,16,3,26,True,False,loss
Basic,5,10,18,False,False,loss
Basic,19,11,19,False,False,loss
Basic,18,10,18,False,False,loss
Basic,9,10,9,False,False,loss
Basic,20,8,20,False,False,win
Basic,13,6,26,True,False,loss
Basic,8,10,25,True,False,loss
Basic,20,4,20,False,False,win
Basic,12,11,20,False,False,win
Basic,19,2,19,False,False,loss
Basic,7,10,21,False,False,win
Basic,17,10,17,False,False,loss
Basic,16,10,23,True,False,loss
Basic,9,9,18,False,False,loss
Basic,15,5,19,False,False,win
Basic,16,9,18,False,False,loss
Basic,13,7,19,False,False,win
Basic,5,7,22,True,False,loss
Basic,18,4,18,False,False,loss
Basic,21,8,21,False,True,win
Basic,12,2,18,False,False,loss
Basic,13,5,20,False,False,loss
Basic,17,3,17,False,False,loss
Basic,17,10,17,False,False,loss
Basic,18,4,18,False,False,loss
Basic,17,5,17,False,False,win
Basic,19,4,19,False,False,loss
Basic,21,8,21,False,True,win
Basic,11,6,19,False,False,win
Basic,12,5,22,True,False,loss
Basic,15,4,22,True,False,loss
Basic,12,10,22,True,False,loss
Basic,12,10,19,False,False,win
Basic,19,4,19,False,False,win
Basic,17,10,17,False,False,win
Basic,7,3,20,False,False,win
Basic,20,10,20,False,False,win
Basic,6,3,22,True,False,loss
Basic,13,2,23,True,False,loss
Basic,20,7,20,False,False,win
Basic,13,8,18,False,False,draw
Basic,20,11,20,False,False,loss
Basic,12,11,12,False,False,loss
Basic,7,4,17,False,False,loss
Basic,5,6,24,True,False,loss
Basic,12,8,22,True,False,loss
Basic,20,3,20,False,False,win
Basic,18,2,18,False,False,draw
Basic,11,8,26,True,False,loss
Basic,14,4,24,True,False,loss
Basic,18,2,18,False,False,win
Basic,19,11,19,False,False,loss
Basic,14,2,23,True,False,loss
Basic,11,4,19,False,False,win
Basic,6,11,21,False,False,win
Basic,13,7,23,True,False,loss
Basic,16,4,26,True,False,loss
